05034,ocd-division/country:us/state:ar/sldu:34
05035,ocd-division/country:us/state:ar/sldu:35
06001,ocd-division/country:us/state:ca/sldu:1
06002,ocd-division/country:us/state:ca/sldu:2
06003,ocd-division/country:us/state:ca/sldu:3
06004,ocd-division/country:us/state:ca/sldu:4
06005,ocd-division/country:us/state:ca/sldu:5
06006,ocd-division/country:us/state:ca/sldu:6
06007,ocd-division/country:us/state:ca/sldu:7
06008,ocd-division/country:us/state:ca/sldu:8
06009,ocd-division/country:us/state:ca/sldu:9
06010,ocd-division/country:us/state:ca/sldu:10
06011,ocd-division/country:us/state:ca/sldu:11
06012,ocd-division/country:us/state:ca/sldu:12
06013,ocd-division/country:us/state:ca/sldu:13
06014,ocd-division/country:us/state:ca/sldu:14
06015,ocd-division/country:us/state:ca/sldu:15
06016,ocd-division/country:us/state:ca/sldu:16
06017,ocd-division/country:us/state:ca/sldu:17
06018,ocd-division/country:us/state:ca/sldu:18
06019,ocd-division/country:us/state:ca/sldu:19
06020,ocd-division/country:us/state:ca/sldu:20
06021,ocd-division/country:us/state:ca/sldu:21
06022,ocd-division/country:us/state:ca/sldu:22
06023,ocd-division/country:us/state:ca/sldu:23
06024,ocd-division/country:us/state:ca/sldu:24
06025,ocd-division/country:us/state:ca/sldu:25
06026,ocd-division/country:us/state:ca/sldu:26
06027,ocd-division/country:us/state:ca/sldu:27
06028,ocd-division/country:us/state:ca/sldu:28
06029,ocd-division/country:us/state:ca/sldu:29
06030,ocd-division/country:us/state:ca/sldu:30
06031,ocd-division/country:us/state:ca/sldu:31
06032,ocd-division/country:us/state:ca/sldu:32
06033,ocd-division/country:us/state:ca/sldu:33
06034,ocd-division/country:us/state:ca/sldu:34
06035,ocd-division/country:us/state:ca/sldu:35
06036,ocd-division/country:us/state:ca/sldu:36
06037,ocd-division/country:us/state:ca/sldu:37
06038,ocd-division/country:us/state:ca/sldu:38
06039,ocd-division/country:us/state:ca/sldu:39
06040,ocd-division/country:us/state:ca/sldu:40
08001,ocd-division/country:us/state:co/sldu:1
08002,ocd-division/country:us/state:co/sldu:2
08003,ocd-division/country:us/state:co/sldu:3
08004,ocd-division/country:us/state:co/sldu:4
08005,ocd-division/country:us/state:co/sldu:5
08006,ocd-division/country:us/state:co/sldu:6
08007,ocd-division/country:us/state:co/sldu:7
08008,ocd-division/country:us/state:co/sldu:8
08009,ocd-division/country:us/state:co/sldu:9
08010,ocd-division/country:us/state:co/sldu:10
08011,ocd-division/country:us/state:co/sldu:11
08012,ocd-division/country:us/state:co/sldu:12
08013,ocd-division/country:us/state:co/sldu:13
08014,ocd-division/country:us/state:co/sldu:14
08015,ocd-division/country:us/state:co/sldu:15
08016,ocd-division/country:us/state:co/sldu:16
08017,ocd-division/country:us/state:co/sldu:17
08018,ocd-division/country:us/state:co/sldu:18
08019,ocd-division/country:us/state:co/sldu:19
08020,ocd-division/country:us/state:co/sldu:20
08021,ocd-division/country:us/state:co/sldu:21
08022,ocd-division/country:us/state:co/sldu:22
08023,ocd-division/country:us/state:co/sldu:23
08024,ocd-division/country:us/state:co/sldu:24
08025,ocd-division/country:us/state:co/sldu:25
08026,ocd-division/country:us/state:co/sldu:26
08027,ocd-division/country:us/state:co/sldu:27
08028,ocd-division/country:us/state:co/sldu:28
08029,ocd-division/country:us/state:co/sldu:29
08030,ocd-division/country:us/state:co/sldu:30
08031,ocd-division/country:us/state:co/sldu:31
08032,ocd-division/country:us/state:co/sldu:32
08033,ocd-division/country:us/state:co/sldu:33
08034,ocd-division/country:us/state:co/sldu:34
08035,ocd-division/country:us/state:co/sldu:35
09001,ocd-division/country:us/state:ct/sldu:1
09002,ocd-division/country:us/state:ct/sldu:2
09003,ocd-division/country:us/state:ct/sldu:3
09004,ocd-division/country:us/state:ct/sldu:4
09005,ocd-division/country:us/state:ct/sldu:5
09006,ocd-division/country:us/state:ct/sldu:6
09007,ocd-division/country:us/state:ct/sldu:7
09008,ocd-division/country:us/state:ct/sldu:8
09009,ocd-division/country:us/state:ct/sldu:9
09010,ocd-division/country:us/state:ct/sldu:10
09011,ocd-division/country:us/state:ct/sldu:11
09012,ocd-division/country:us/state:ct/sldu:12
09013,ocd-division/country:us/state:ct/sldu:13
09014,ocd-division/country:us/state:ct/sldu:14
09015,ocd-division/country:us/state:ct/sldu:15
09016,ocd-division/country:us/state:ct/sldu:16
09017,ocd-division/country:us/state:ct/sldu:17
09018,ocd-division/country:us/state:ct/sldu:18
09019,ocd-division/country:us/state:ct/sldu:19
09020,ocd-division/country:us/state:ct/sldu:20
09021,ocd-division/country:us/state:ct/sldu:21
09022,ocd-division/country:us/state:ct/sldu:22
09023,ocd-division/country:us/state:ct/sldu:23
09024,ocd-division/country:us/state:ct/sldu:24
09025,ocd-division/country:us/state:ct/sldu:25
09026,ocd-division/country:us/state:ct/sldu:26
09027,ocd-division/country:us/state:ct/sldu:27
09028,ocd-division/country:us/state:ct/sldu:28
09029,ocd-division/country:us/state:ct/sldu:29
09030,ocd-division/country:us/state:ct/sldu:30
09031,ocd-division/country:us/state:ct/sldu:31
09032,ocd-division/country:us/state:ct/sldu:32
09033,ocd-division/country:us/state:ct/sldu:33
09034,ocd-division/country:us/state:ct/sldu:34
09035,ocd-division/country:us/state:ct/sldu:35
09036,ocd-division/country:us/state:ct/sldu:36
10001,ocd-division/country:us/state:de/sldu:1
10002,ocd-division/country:us/state:de/sldu:2
10003,ocd-division/country:us/state:de/sldu:3
