17,18,ocd-division/state:il/cd:18
17,14,ocd-division/state:il/cd:14
17,10,ocd-division/state:il/cd:10
17,08,ocd-division/state:il/cd:8
17,06,ocd-division/state:il/cd:6
17,05,ocd-division/state:il/cd:5
17,04,ocd-division/state:il/cd:4
17,07,ocd-division/state:il/cd:7
17,11,ocd-division/state:il/cd:11
17,03,ocd-division/state:il/cd:3
17,01,ocd-division/state:il/cd:1
17,02,ocd-division/state:il/cd:2
17,09,ocd-division/state:il/cd:9
23,02,ocd-division/state:me/cd:2
21,01,ocd-division/state:ky/cd:1
21,06,ocd-division/state:ky/cd:6
21,03,ocd-division/state:ky/cd:3
21,05,ocd-division/state:ky/cd:5
20,01,ocd-division/state:ks/cd:1
20,04,ocd-division/state:ks/cd:4
20,02,ocd-division/state:ks/cd:2
20,03,ocd-division/state:ks/cd:3
19,01,ocd-division/state:ia/cd:1
19,02,ocd-division/state:ia/cd:2
19,03,ocd-division/state:ia/cd:3
19,04,ocd-division/state:ia/cd:4
18,08,ocd-division/state:in/cd:8
18,04,ocd-division/state:in/cd:4
18,01,ocd-division/state:in/cd:1
18,02,ocd-division/state:in/cd:2
18,03,ocd-division/state:in/cd:3
18,05,ocd-division/state:in/cd:5
18,06,ocd-division/state:in/cd:6
18,09,ocd-division/state:in/cd:9
18,07,ocd-division/state:in/cd:7
30,01,ocd-division/state:mt/cd:1
29,05,ocd-division/state:mo/cd:5
29,04,ocd-division/state:mo/cd:4
29,03,ocd-division/state:mo/cd:3
29,02,ocd-division/state:mo/cd:2
29,01,ocd-division/state:mo/cd:1
27,01,ocd-division/state:mn/cd:1
27,02,ocd-division/state:mn/cd:2
27,03,ocd-division/state:mn/cd:3
27,04,ocd-division/state:mn/cd:4
27,06,ocd-division/state:mn/cd:6
27,05,ocd-division/state:mn/cd:5
27,07,ocd-division/state:mn/cd:7
27,08,ocd-division/state:mn/cd:8
26,01,ocd-division/state:mi/cd:1
26,02,ocd-division/state:mi/cd:2
26,03,ocd-division/state:mi/cd:3
26,04,ocd-division/state:mi/cd:4
26,05,ocd-division/state:mi/cd:5
26,10,ocd-division/state:mi/cd:10
26,08,ocd-division/state:mi/cd:8
26,09,ocd-division/state:mi/cd:9
26,06,ocd-division/state:mi/cd:6
26,07,ocd-division/state:mi/cd:7
26,12,ocd-division/state:mi/cd:12
26,11,ocd-division/state:mi/cd:11
26,14,ocd-division/state:mi/cd:14
26,13,ocd-division/state:mi/cd:13
25,01,ocd-division/state:ma/cd:1
25,02,ocd-division/state:ma/cd:2
25,03,ocd-division/state:ma/cd:3
25,05,ocd-division/state:ma/cd:5
25,06,ocd-division/state:ma/cd:6
25,09,ocd-division/state:ma/cd:9
25,07,ocd-division/state:ma/cd:7
25,08,ocd-division/state:ma/cd:8
25,04,ocd-division/state:ma/cd:4
24,06,ocd-division/state:md/cd:6
24,08,ocd-division/state:md/cd:8
24,01,ocd-division/state:md/cd:1
24,07,ocd-division/state:md/cd:7
24,03,ocd-division/state:md/cd:3
24,04,ocd-division/state:md/cd:4
24,05,ocd-division/state:md/cd:5
37,05,ocd-division/state:nc/cd:5
37,10,ocd-division/state:nc/cd:10
37,11,ocd-division/state:nc/cd:11
37,02,ocd-division/state:nc/cd:2
56,01,ocd-division/state:wy/cd:1
54,01,ocd-division/state:wv/cd:1
54,02,ocd-division/state:wv/cd:2
54,03,ocd-division/state:wv/cd:3
55,07,ocd-division/state:wi/cd:7
55,03,ocd-division/state:wi/cd:3
55,02,ocd-division/state:wi/cd:2
55,01,ocd-division/state:wi/cd:1
55,08,ocd-division/state:wi/cd:8
55,06,ocd-division/state:wi/cd:6
55,05,ocd-division/state:wi/cd:5
55,04,ocd-division/state:wi/cd:4
53,05,ocd-division/state:wa/cd:5
53,04,ocd-division/state:wa/cd:4
53,08,ocd-division/state:wa/cd:8
53,03,ocd-division/state:wa/cd:3
53,06,ocd-division/state:wa/cd:6
53,10,ocd-division/state:wa/cd:10
53,09,ocd-division/state:wa/cd:9
53,01,ocd-division/state:wa/cd:1
53,02,ocd-division/state:wa/cd:2
53,07,ocd-division/state:wa/cd:7
50,01,ocd-division/state:vt/cd:1
51,09,ocd-division/state:va/cd:9
51,05,ocd-division/state:va/cd:5
51,06,ocd-division/state:va/cd:6
51,01,ocd-division/state:va/cd:1
51,07,ocd-division/state:va/cd:7
51,03,ocd-division/state:va/cd:3
51,10,ocd-division/state:va/cd:10
51,11,ocd-division/state:va/cd:11
51,02,ocd-division/state:va/cd:2
51,04,ocd-division/state:va/cd:4
51,08,ocd-division/state:va/cd:8
32,04,ocd-division/state:nv/cd:4
49,01,ocd-division/state:ut/cd:1
49,02,ocd-division/state:ut/cd:2
49,03,ocd-division/state:ut/cd:3
49,04,ocd-division/state:ut/cd:4
48,02,ocd-division/state:tx/cd:2
48,13,ocd-division/state:tx/cd:13
48,19,ocd-division/state:tx/cd:19
48,11,ocd-division/state:tx/cd:11
48,16,ocd-division/state:tx/cd:16
48,21,ocd-division/state:tx/cd:21
48,04,ocd-division/state:tx/cd:4
48,03,ocd-division/state:tx/cd:3
48,05,ocd-division/state:tx/cd:5
48,14,ocd-division/state:tx/cd:14
48,22,ocd-division/state:tx/cd:22
48,09,ocd-division/state:tx/cd:9
48,27,ocd-division/state:tx/cd:27
48,34,ocd-division/state:tx/cd:34
48,28,ocd-division/state:tx/cd:28
48,25,ocd-division/state:tx/cd:25
48,06,ocd-division/state:tx/cd:6
48,31,ocd-division/state:tx/cd:31
48,17,ocd-division/state:tx/cd:17
48,08,ocd-division/state:tx/cd:8
48,12,ocd-division/state:tx/cd:12
48,33,ocd-division/state:tx/cd:33
48,24,ocd-division/state:tx/cd:24
48,32,ocd-division/state:tx/cd:32
48,30,ocd-division/state:tx/cd:30
48,26,ocd-division/state:tx/cd:26
48,35,ocd-division/state:tx/cd:35
48,20,ocd-division/state:tx/cd:20
